호선,역번호,출발역,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,25시
2호선,207,상왕십리,17.4,25.25,67.35,67.35,42.85,37.8,39.65,36.7,42.85,42.2,42.45,52.7,57.9,75.2,76.1,57.85,51.5,58.25,35.1,17.9,4.5
2호선,208,왕십리,18.9,24.5,39.65,39.65,50.9,44.65,42.55,42.4,48.5,44.4,44.9,43.75,55.2,55.5,43.25,22.5,21.05,26.65,22.9,15.4,5.6
2호선,208,왕십리,15.7,23.7,63.1,63.1,40.3,36.1,38.5,36,42.15,42,42.8,53.3,57.55,78.35,75.75,60.5,49.85,58.65,36.05,18.3,5.2
2호선,209,한양대,18.6,22.9,36,36,44.85,37.5,36.6,39.7,42.75,40.9,44.6,46.35,59.6,55.95,45.05,24.1,20.8,27.05,23.15,15.3,5.5
2호선,209,한양대,11.7,14.1,40.25,40.25,25.8,23.7,28.15,27.35,32.25,33.65,36.6,46.3,50.1,69.9,66.1,55.55,46.2,53.1,30.6,14,4.1
2호선,210,뚝섬,18.1,21.05,30.8,30.8,34.7,30.15,32.05,37.1,40.45,39.4,43.7,46,60.7,59.25,49.05,25.55,21.7,29.15,24.65,16.05,4.4
2호선,210,뚝섬,9.6,15.6,40.3,40.3,28.9,25.3,30.7,27.45,31.35,33.2,33.95,40,43.05,67.5,59.95,51.6,43,49.65,25.7,12.6,4.1
2호선,211,성수,7.7,11.6,20.7,20.7,29.15,29.15,22.55,27.9,32.2,33.55,38.4,44.35,48.6,58.75,62.7,39.4,40.4,40.45,28.95,19.2,11.7
2호선,211,성수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2호선,212,건대입구,10.4,16.3,28.35,28.35,37.7,33.5,26.1,27.9,31.35,32.7,36.6,39.9,42.25,47.9,47.8,30.5,33.05,34.85,24.65,17.2,10.4
2호선,212,건대입구,30.6,29.35,56.05,56.05,37.95,30,32.9,31.8,34.25,33.65,32.05,38.25,45,49.8,40.9,26.7,30.7,37.25,20.45,10.9,3.9
2호선,213,구의,13.9,16.85,30.95,30.95,41.7,36.35,25.75,27.1,30.2,30.95,34.1,37.1,40.2,42.5,42.25,26.5,28.8,30.2,21.1,14.3,8.6
2호선,213,구의,27.2,24.4,48.5,48.5,31.9,24,30.85,27.95,32.3,31.65,32.2,39.25,48.95,55.7,49.5,32.55,31.4,38.95,21.1,11.3,3.4
2호선,214,강변,16.5,17.9,35.1,35.1,45.25,38.95,26.65,27.8,29.55,30.4,32.6,35.6,40.1,37.9,42.45,24.25,26.9,28.6,20,14.05,8.7
2호선,214,강변,17,21,40.85,40.85,27.7,21.85,28.25,26,30.3,29.9,31.2,38.7,48,57.1,52.85,35.25,33.1,42.5,20.35,12.5,4.3
2호선,215,잠실나루,16.9,18.3,34.1,34.1,45.3,39.35,27.65,28.5,29.25,30.5,33.35,36.7,40.7,37.5,40.2,23.15,24.85,27.2,19.3,13,7.5
2호선,215,잠실나루,18.5,19.5,35.4,35.4,24.85,19.75,25.75,24.8,29.25,29.15,32.6,39.7,48.5,60.4,53.95,37,34.5,45.25,21.9,11.1,5.1
2호선,216,잠실,25.3,27.45,56.15,56.15,62,51.45,31.9,32,33.7,32.85,34.6,37.65,42.25,37.75,36.15,24.6,25.35,28.65,16.6,9.6,4.6
2호선,216,잠실,17.4,18.9,34.15,34.15,24.1,20,24.3,25.55,28.7,29.35,32.25,39.35,47.95,60.05,54.4,39,35.9,47.15,23.05,11.85,5.5
2호선,217,잠실새내,26.7,28.4,59.55,59.55,64.65,53.7,32.1,31.2,33.3,31.55,32.1,35.95,38.1,35.45,32.85,22.8,23.7,27.1,15.45,8.35,3.1
2호선,217,잠실새내,12.1,16.65,28.7,28.7,24.5,20.45,24.7,28.25,31.3,32.7,38.2,46.85,61.3,79.8,76.4,47.05,44.05,60.85,32.35,18.3,7.3
2호선,218,종합운동장,30.9,26.6,59.5,59.5,69.15,58.2,33.5,31.7,32.35,32.7,31.8,35.65,39.2,35.3,32,22,22.15,27.1,15.45,8.85,2.7
2호선,218,종합운동장,9.2,15.55,24.25,24.25,21.95,18,23.85,27.3,30,32.4,38.85,47.2,61.65,83.2,78.2,48.7,45.3,59.75,32.45,18.85,7.7
2호선,219,삼성,20.2,22.45,49.5,49.5,57.9,48.35,29.9,31.45,33.3,35.4,38.8,46.95,57,61.05,48.7,33.3,33.2,40.15,19.8,10.75,4
2호선,219,삼성,10,17.45,23.9,23.9,21.2,17.65,23.55,27.1,29.2,32.45,39.5,46.55,63.35,91.6,78.3,51.05,48.45,62.05,32.95,16,7.2
2호선,220,선릉,22.6,23.75,50.5,50.5,62.05,55.05,34.65,39.15,42.25,46,52.45,63.45,79.3,87.3,70.85,45.95,46.85,55.4,29.4,14.75,7.8
2호선,220,선릉,29.3,26.3,40.6,40.6,40.7,31.35,32.65,32.1,33.6,35.2,38.85,43.45,54.75,78.55,66.9,43.15,41.3,52.6,30.45,15.4,4.5
2호선,221,역삼,22,20.75,39.5,39.5,44.1,41.3,31.35,38.6,41.25,46.8,56.95,71.8,94.9,111.55,88.55,56.05,56.9,66.7,37.15,16,8.2
2호선,221,역삼,51.7,34.95,59.35,59.35,61.3,45.85,43.65,41.9,42.15,44.8,46.5,49.4,60.3,84.4,69.4,46.35,46.3,57.1,32.95,17.55,5.6
2호선,222,강남,21.6,18.3,32.4,32.4,31.45,32.6,30.5,41.75,43.85,48.4,62.7,79.5,103.5,123.25,102.95,68.35,72.5,88.85,50.35,21.85,10.6
2호선,222,강남,59.7,42.4,77.05,77.05,87.05,64.75,51.75,46.75,45.85,47.2,45.55,45.35,54.55,68,57,40.6,39.75,50.5,30.65,16.55,6
2호선,223,교대,20.7,17.85,32.8,32.8,29.4,30.7,28.9,39.65,43.05,46.25,62.7,78.5,102.65,128.75,112.35,74.45,76.65,98.9,55.6,23.45,11.6
2호선,223,교대,76.7,52.2,95.35,95.35,107.9,77.8,59.75,49.4,48.05,50.95,47.35,45,51.25,60.25,51.25,35.65,32.8,35.85,25,14.55,6.5
2호선,224,서초,20,15.95,29.4,29.4,24.2,25.5,26.3,38.25,41.85,46.4,64.25,81.35,106.35,134.55,114.45,75.8,78.2,99.15,56.35,23.45,11.4
2호선,224,서초,80.8,59.1,102.65,102.65,112.55,80.45,59.35,50.1,47.8,50.7,45.3,42.95,48.65,53.95,47.65,32.8,31.7,31.85,24.85,14.85,6.8
2호선,225,방배,20.3,16.25,29.2,29.2,22.45,23.85,25.15,38.5,41.25,46.8,67.05,83.9,107.1,137.95,119.85,76.1,80.95,100.5,57.05,26.3,11.2
2호선,225,방배,84.4,62.2,109.3,109.3,112.6,82.7,59.85,49.8,48.75,46.45,41.2,41.65,43.3,46.75,44,29.4,29.5,29.45,24.2,14,7
2호선,226,사당,18.1,16.1,28,28,23.95,23.8,22.35,34.35,38.1,43.7,58.45,71.65,91.5,120.75,112.5,70.25,75.75,99.35,62.45,28.7,18.7
2호선,226,사당,86.2,63.6,113.15,113.15,110.45,74.85,62.15,51.55,49.45,46.2,40.8,39.85,41.95,43.85,42.8,28.9,29.85,28.45,25.1,14.05,3.7
2호선,227,낙성대,21,16.6,28.9,28.9,24.7,22.15,22.95,32.1,38.1,42.1,54.4,70.3,86.6,114,105.55,63.45,72.5,88.15,59.8,25.85,16.5
2호선,227,낙성대,79.5,64.25,106.3,106.3,95.45,65.35,53.35,48.6,45.35,41.35,37.2,38.7,40.15,45.85,41.45,28.3,29.75,28.5,25.4,14.05,3.9
2호선,228,서울대입구,14.9,16.9,30.35,30.35,22.95,19.25,20.25,28.9,35.55,39.4,50.25,65.95,73,108.45,91.8,57.3,65.25,78.3,52.4,24.7,18.8
2호선,228,서울대입구,74.4,60.3,98.55,98.55,90.2,61.55,50.65,46.2,43.5,39.6,35.65,37.45,38.85,45.95,41.15,28.5,30.5,29.6,25.35,14.6,5
2호선,229,봉천,19.7,18.45,34.05,34.05,25.05,20.35,20.6,29.25,35.85,38.95,48.55,63.05,69.55,102.45,84.45,51.9,60.75,72.85,49.9,22.5,16.3
2호선,229,봉천,70.9,54.25,86.7,86.7,79.15,54.75,45.6,42.4,39.3,35.9,31.8,34.05,35.05,43.65,40.5,28.75,27.1,27.3,24.25,14.55,5
2호선,230,신림,29.6,21.55,38.35,38.35,29.35,21.5,22.5,27.85,35.25,36.3,43.1,54.9,60.05,84.65,66.1,39.65,46.5,56.05,37.75,16.35,9.5
