역번호,역주변,호선,역명
156,용두동 방면,3호선,대치
156,용두시장,3호선,학여울
156,용두초등학교,3호선,학여울
156,기업은행 ,3호선,대청
156,동대문 고용 안정 센터,3호선,대청
156,보문동 방면,3호선,일원
156,용두동 방면,3호선,일원
156,대광초등학교,3호선,수서
156,대광중.고교,3호선,수서
156,제기동 방면,3호선,가락시장
156,한국의류시험연구원,3호선,가락시장
156,동대문 우체국,3호선,경찰병원
156,국민연금동대문중랑지사,3호선,경찰병원
156,동대문방면,3호선,오금
156,동대문 우체국,3호선,오금
156,용두동,4호선,불암산
156,청계천방면,4호선,불암산
156,동대문 도서관,4호선,상계
156,용두2동,4호선,상계
157,고려대학교,4호선,노원
157,성일중학교,4호선,노원
157,용두시장,4호선,창동
157,"미주,현대,공성아파트",4호선,창동
157,종암초등학교,4호선,쌍문
157,경동시장,4호선,쌍문
157,마장동,4호선,수유
157,동대문구청,4호선,수유
157,용두동 ,4호선,미아
157,정릉천,4호선,미아
157,용두 치안센터,4호선,미아사거리
157,동대문종합사회복지관,4호선,미아사거리
157,선농단,4호선,길음
157,청량리 방면,4호선,길음
157,정릉천,4호선,성신여대입구
157,신설동 방면,4호선,성신여대입구
157,용두 초등학교,4호선,한성대입구
157,용신동 주민센터,4호선,한성대입구
157,서울약령시장,4호선,혜화
158,경동. 동서시장,4호선,혜화
158,서울 청량리 우체국,4호선,동대문
158,동대문 세무서,4호선,동대문
158,미주아파트,4호선,동대문역사문화공원
158,청량리 역광장,4호선,동대문역사문화공원
158,청량리수산시장,4호선,충무로
158,버스환승센터,4호선,충무로
158,서울시립동대문청소년수련관,4호선,명동
158,롯데백화점,4호선,명동
158,제기동방면,4호선,회현
158,홍릉(영휘원)방면,4호선,회현
158,동대문경찰서,4호선,서울역
158,기업은행 청량리지점,4호선,서울역
158,동대문노인종합복지관,4호선,숙대입구
158,용두동,4호선,숙대입구
159,종로산업정보학교,4호선,삼각지
159,동묘파출소,4호선,삼각지
159,숭인 119안전센터,4호선,신용산
159,서울직업전문학교,4호선,신용산
159,숭인2동 주민센터,4호선,이촌
159,종로구 보건소 동부진료소,4호선,이촌
159,창신1동 주민센터,4호선,동작
159,숭신초등학교,4호선,동작
159,창신초등학교,4호선,총신대입구
201,창덕여중,4호선,총신대입구
201,서울시티투어 버스타는곳  ,4호선,사당
201,서울특별시청 서소문별관,4호선,사당
201,대한성공회,4호선,남태령
201,정동극장,4호선,남태령
201,서울지방법원 중부등기소,5호선,방화
201,대한상공회의소,5호선,방화
201,서울시립미술관,5호선,개화산
201,남대문,5호선,개화산
201,이화여고,5호선,김포공항
201,이화여고,5호선,김포공항
201,중앙일보,5호선,송정
201,유관순기념관,5호선,송정
201,유관순기념관,5호선,마곡
201,서울특별시 의회별관,5호선,마곡
201,덕수궁,5호선,발산
201,세종문화회관,5호선,발산
201,영국대사관,5호선,우장산
201,조선일보사,5호선,우장산
201,덕수궁 미술관,5호선,화곡
201,서울지방법원 중부등기소,5호선,화곡
202,서울고용노동청본청,5호선,까치산
202,서울시티투어버스타는곳,5호선,까치산
202,서울시민대학,5호선,신정
202,"서울시의정회,다동,무교동",5호선,신정
202,국가인권위원회,5호선,목동
202,다동,5호선,목동
202,무교동,5호선,오목교
202,한국관광공사,5호선,오목교
202,예금보험공사,5호선,양평
202,광교,5호선,양평
202,을지3가 방면,5호선,영등포구청
202,기업은행 본점,5호선,영등포구청
202,명동,5호선,영등포시장
202,을지3가방면,5호선,영등포시장
202,명동성당,5호선,신길
202,서울여자기독교청년회,5호선,신길
202,계성여자고등학교,5호선,여의도
202,명동,5호선,여의도
202,한국전력,5호선,여의나루
202,서울중앙우체국,5호선,여의나루
202,중국대사관,5호선,마포
202,한성화교소학,5호선,마포
202,한국은행,5호선,공덕
202,소공동,5호선,공덕
202,소공동방면,5호선,애오개
202,시청방면,5호선,애오개
203,수표동,5호선,충정로
203,서울고용노동청,5호선,충정로
203,중부경찰서,5호선,서대문
203,중구문화원,5호선,서대문
203,서울고용노동청,5호선,광화문
203,영락교회,5호선,광화문
203,서울고용복지플러스센터,5호선,종로3가
203,서울고용노동청,5호선,종로3가
203,명동성당,5호선,을지로4가
203,인제대학원대학교,5호선,을지로4가
203,기계공구상가,5호선,동대문역사문화공원
203,을지로2가방면,5호선,동대문역사문화공원
203,을지로동 주민센터,5호선,청구
203,종로3가방면,5호선,청구
203,청계천방면,5호선,신금호
203,입정동,5호선,신금호
203,을지로4가방면,5호선,행당
203,을지로3가 파출소,5호선,행당
203,인현동,5호선,왕십리
203,충무로방면,5호선,왕십리
203,한국국제교류재단,5호선,마장
203,신한카드,5호선,마장
203,청계천 방면,5호선,답십리
203,청계천방면,5호선,답십리
203,을지로동 주민센터,5호선,장한평
203,시립서울청소년센터,5호선,장한평
203,충무로3가,5호선,군자
203,고당조만식기념관,5호선,군자
203,초   동,5호선,아차산
203,남대문세무서,5호선,아차산
203, 명동성당,5호선,광나루
203,국민연금 종로중구지사,5호선,광나루
203,영락교회,5호선,천호
203,서울시립청소년센터,5호선,천호
203,을지로4가 우체국,5호선,강동
